,emotion,text
48,anger,@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me
49,anger,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!"
50,anger,@playspymaster I want an invite - sick of seeing all these links for people playing and being left out
51,anger,#thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think ?? it all confusing
52,anger,@tommcfly Why do you not respond me?
53,anger,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
54,anger,People at work are stressing me out.
55,anger,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
56,anger,Wish my headache/almost migraine would go away!
57,anger,"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane"
58,anger,My throat is on fire
59,anger,sam and sean are teasing me saying they are gonna get wings without me
60,anger,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
61,anger,@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!
62,anger,Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.
63,anger,"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!"
64,anger,@porcelain_baby @Christomopher your not talking about your obsession with me right???
65,anger,@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer
66,anger,"Had a shower. it's 5:55 PM. Triple 5's! Crap, it just turned 5:56"
67,anger,@ACMcWhale I always feel guilty about it
68,anger,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
69,anger,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane"
70,anger,rught brb on me ipod. if i randomly go off its cos me internet breaks
71,anger,at famous dave's with my mom. so hungry.
72,anger,"@maddsie Thanks, none close to me."
73,anger,I am beginning to think sun blcok is a haox.
74,anger,Just found out my parents are putting down my dog tomorrow morning. Upset
75,anger,Apperently ea knows my copy of the sims 3 is not legit and is upset
76,anger,FUCK. slept in
77,anger,"my sisters fucking pc, just blued screened me"
78,anger,"@PENLDN just got in, gonna go upto bed in a sec, not drunk! I'm disgusted with myself  haha"
79,anger,too sick for rigging tomorrow.
80,anger,UUUUUGH!!! I HATE I MISSED @WAYNEDASTAR INTERVIEW!!! I WASNT AT HOME!!! DARN!!!
81,anger,Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn't the weather know this is California?
82,anger,finally home for once after a dope ass week
83,anger,@eminem http://twitpic.com/4j585 - Guess I need to get me an iPhone now for sure!!!  It looks bad ass!!
84,anger,@paulmoxham everything is your fault moxy...everything.   x
85,anger,finally getting sleepy right when the sky brightens ... figures! G'nimorning
86,anger,is downloading new fonts . again  http://plurk.com/p/rplkr
87,anger,"So, what's so great bout your so called 'wonderful love life'?  For god sake, W-A-T-E-V-A!"
88,anger,@stevebiddle I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher
89,anger,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww
90,anger,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental."
91,anger,@iaindodsworth Told you that when you got rid of the last one. Did you listen
92,anger,"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???"
93,anger,"@olafsearson Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx"
94,anger,@taylorswift13 jet lag must be soo annoyingg! im in uk timee  welcome to ukkkkk  are u coming to scotland at all  ? xxxx
95,anger,knows its all going to sort itself out
96,anger,omg! goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready
97,anger,@rockchick0125 yup!  Now I can join in on the nin access fun!
98,anger,@Buddy021193 i hear you.. it pisses me off haha
99,anger,@PirateTimmy hopefully it don't go that far  sometimes I feel like renouncing my roots
100,anger,"had a kickass day full of Seaworld, retarded 15 year old guys, and X-Men Origins. Win day?"
101,anger,OIL IS CHANGED!  And I am filthy.    But it's an accomplished filthy.
102,anger,@roberto121 that's some serious shit steve. why didn't you send me pictures or call me!! You know i love a good yard sale.
103,anger,@brainofdane DUDE.  You're a hax0r!!!1!  You should put Final Cut Pro on there and tell me how stable it is
104,anger,Just sittin here waitin for my coffee to be full grown on farm town before going to bed
105,anger,my gawwddd ! 6 headshotss inna row? im on fyaaahhh!
106,anger,I'm way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo
107,anger,@NerdIndian Take that back. I am insulted.
108,anger,@anieszkaa haha i did a ltiitle bit yesterday and ive been out all day  so i think ima chick an allnighter  hahaha NOT COOL
109,anger,@johncmayer you are one of my favorite musicians/artists ever!! Please keep up the great work John
110,happiness,mmm much better day... so far! it's still quite early. last day of #uds
111,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
112,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
113,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
114,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
115,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
116,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
117,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
118,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
119,happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
120,happiness,english class! working on interactive orals
121,happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
122,happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
123,happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
124,happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
125,happiness,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
126,happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
127,happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
128,happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
129,happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
130,happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
131,happiness,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
132,happiness,@UniqueMakis Awesome! Wish I could fly out to see her
133,happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE
134,happiness,"@hiracdelest who's the one always working now?  oh yeah, still me."
135,happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
136,happiness,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
137,happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
138,happiness,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!
139,happiness,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL
140,happiness,so carlie came over and she fell asleep on me
141,happiness,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!"
142,happiness,@allyycase suuure
143,happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
144,happiness,"up early again  loads to do- but the suns out, hurrah!"
145,happiness,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.
146,happiness,@ColeDavid had  a little family party tonight   hope it rocked
147,happiness,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
148,happiness,hahaha yeah i see that. but he can't twitter me back
149,happiness,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.
150,happiness,@assembled ive been there before  haha
151,happiness,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better"
152,happiness,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight"
153,happiness,@captainboots  YOU'RE FAKING IT! Hahaha...I kid.
154,happiness,@pourmecoffee I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  http://post.ly/geb
155,happiness,Can you believe it:Tomorrow Night will be Jay Leno's last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.
156,happiness,Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part
157,happiness,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer
158,happiness,@tifftiff88 what don't be sad?  Be glad. Your 21
159,happiness,Goodmorning yall! I woke up to early
160,happiness,@SharktailYPP The red font up the top is very nice. But where did they put all the old entries?
161,happiness,@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?
162,happiness,I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!
163,happiness,"BOOYA!! Sup Tweeps!? Happy inFAMOUS day to you all, off to get it very soon. Can't wait to play, need to find some more time though"
164,happiness,"@TerrenceJ106 I'm up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!"
165,happiness,Is dreading going to work  BUT....its friiiiiday!! whoop!!!
166,happiness,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*
167,happiness,"@rettema &quot;might be interested&quot; - thanks, I was: I came, I saw, I winced..  too much like Flatland http://bit.ly/12f0y"
168,happiness,"@sueveeyall Haha, I wish I could"
169,happiness,"Warwick Castle http://snurl.com/izzau Amazing!  Off to Devon for a week...no internet, no updates"
170,happiness,good morning people !! in good old germany is it soooo cold
171,happiness,@sunnyphoenix there was like no1 there n tha DJ comp was hella wack... no gud DJs  but got in free so its all gud
172,happiness,wishes she would call him ...   *hc*
173,happiness,"My life what a beautiful morning, i can think if no better way to ruin it than by being at work"
174,happiness,wish my nicky were home too
175,happiness,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx
176,happiness,huhuhu still working to get new clients in motion graphics
177,happiness,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels"
178,happiness,@Lara82 Yeah  He was such a good..erm...entertainment )
179,happiness,@mileycyrus I would totally take you to prom...if i hadnt already gone  sorry lol
180,happiness,@RASHIDIAN Come hang out wif meeee
181,happiness,Hmmm thinking about taking back that I feel better this morning - I think I spoke to early
182,happiness,@pyroezra i know!  i wish she would. I just wanna cuddle and sleeep in ga! And go to the world of coke
183,happiness,@carocat Nooo  But hey you're back next week! Are you moving back for good?
184,happiness,"@ykesha2001 yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!!   (june 3)"
185,happiness,@_faeriequeen I just saw the Hamlet update too - excellent news... Never so good as live though
186,happiness,I can't work twitter on my phone!  we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!
187,happiness,@NMaize Lucky Rob... always gettin' the T8's from Emalon
188,happiness,Going back to Manila this evening. All my trips to Cebu are so bitin.
189,happiness,@drewpeacock85 cool dude! yeah i was hoping your rate was still $2.75. lol! yeah not sure when ill mar and par for my birthday dinner.
190,happiness,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!"
191,happiness,I have been playing skate for two hours. Now i need to get out and actually skate. But it's too late
192,happiness,"@mitch_400iso Me too, she was adorable and you could tell the pressure got to her."
193,happiness,@DaRealSunisaKim There's ding tai Fung here in Sydney aswell...  making me want dumplings...
194,happiness,This is one of my all-time favorite episodes/quotes from The OfficeUS only   )  http://bit.ly/ARMJ
195,happiness,I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny
196,happiness,Sleep....take two....this better work!
197,happiness,@ACALLPRO -- yeahhh u wasnt thereeeeeeeeeee
198,happiness,@DeadMemoriesX Poor you   If I was with you right now; I would probably give you a hug ;D
199,happiness,"Wow what a sunny day,  just recovering some erased files"
200,happiness,is wondering where all her friends went...
201,happiness,@mangointhesky idk. The original is so great.
202,happiness,Finishing Homework.  BOOO
203,happiness,Football session after this.fun
204,happiness,job centre bound. oh yay.
205,happiness,"@hilsatlvsonline Thanks for the tip! Unfortunately a major crash in my https site, just as ExtPlorer"
206,happiness,@moneymakn1 Thats actually not that fun as you would think... I was hurting for a week after a similar experience.
207,happiness,@shaundiviney 04182012154 send me one PLEASE!! I TXTD IN BUT I GOT A NEW PHONE
208,happiness,@MarkStanto why thx! #webdu I was only at the conf on Thurs
209,happiness,Aww I heard I just missed you two @logieo &amp; @egg104 !
210,happiness,writing report cards  soooo tired but what an amazing day. check it out on fb soon!
211,happiness,"laughed so much today over that picture of lauren, that my chest hurts."
212,happiness,Lobbying in twitter! Here too!!  Yuk! Gettin rid of groupies ;)
213,happiness,@lisaxjbx3 Goodnight is not on the trending topics.  lol
214,happiness,Nevermind! Beyonce doesn't have a Twitter  Haha
215,happiness,@caldjr yeh me 2
216,happiness,"Just got Skyfire (http://get.skyfire.com/).  Firts impressions, it looks good but it's a little too memory hungry for my ageing HTC TyTN"
217,happiness,I hereby proclaim it to officially be summer as it is AWESOME today! But I'm stuck inside a chilly office
218,happiness,had the lovliest night last night but was ruined by doctors inability to warn me of side effects. back again for more tests.
219,happiness,Bumping Air Supply's Greastest Hits
220,happiness,Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now
221,happiness,is going back home  love ya Zagrebe &lt;3
222,happiness,staring at the sunshine through my office window!
223,happiness,"Mooorning! It's Friday, and that's terrific! Smile up!    :-|      :-D"
224,happiness,sadly awake. wondering about contact info for all of the fun folks I hung out with at the shop. YAY 23b!!! Miss you guys
225,happiness,"@realchrissystar we'll be back sunday to play @ the horse, I was out last night at mex you were not  miss you"
226,happiness,@AlexaRPD Nice action shot: http://bit.ly/m8zfx  I miss working a pole.   __ dont you see clients everyday?  lol
227,happiness,Good Morning Every1!!! Its gorgeous out again n im stuck in work  Wish i was at home chillin out.. Hopefully tha day goes quick  doh !!
228,happiness,watched the Bones finale last night in the UK &amp; it rocked!! oh how much I missed Zack!!!  @EricMillegan is so freakin' awesome &lt;3
229,happiness,Someone bring me milk for my cookies!
230,happiness,"on later than normal this morning, got attacked by a swarm of mini fly's after opening the veranda last night took an hour to get rid!!"
231,happiness,"Looks like a beautiful day...and I am off work til Sunday, yay!! No bbq as yet though, gonna have to postpone my invitations"
232,happiness,@primaveron I need them  It would've made my picture so much cooler. Mine are bottle green. Eeyea-thooo!
233,happiness,@andyroddick At work at the mo and it's so sunny here today   Off to see a band tonight!!
234,happiness,Such a nice day...and we're all working
235,happiness,good morning! off to the gym I go
236,happiness,AH! so nice to be back on bike commute although three days off and my (what google sez are called) my quadriceps literally screaming. gah
237,happiness,@iAmiAdam Hes away longer then me. Im only away for a few hours
238,happiness,@iPat143  hmm.. idk that song.
239,happiness,"Morning world, the sun seems to have gone away, maybe to Majorca or some other popular tourist spot. Hope it comes back soon"
240,happiness,The Renegades last day was today and...well... he's gone... didn't catch him  Gutted... Closest he came to Greenock was Kilmacolm!
241,happiness,Well that was an interesting attempt at the commute to work... didn't exactly plan to end up where I did though...great
242,happiness,@Jessums31 yup its working. they couldn't recover anything on it though
243,happiness,@trixie360 zombie wrangler sounds like fun. I don't have halo wars.
244,happiness,Good morning from RSA Twitterverse!! Please send me some happy vibes &amp; cheerfulness today I'm feeling a little sad
245,happiness,"early morning~2:30 am~what's up? I am!~~!!played w/ my babies outside~wow~was in the 80's~felt great!~~got lonely, misses sissy and jess"
246,happiness,@babyexpat commercial shoot in Tokyo. not much time to play there   quick and dirty
247,happiness,I soo wanna eat McDonalds Fries
248,happiness,I am totally knackered and back in the meeting
249,happiness,I am hungry already. Not impressed! And everybody has gone to Rubys
250,happiness,yay dad agreed to pay for my tuition and equipment! yipee not till nxt jan tho
251,happiness,got back from the embassy; missing one paper  go again on Monday!!!good luck me!!!
252,happiness,@mitchelmusso Heyyyyy us English fans want some signings too
253,happiness,Finally gonna try and fall asleep goodnight.. More like morn... I sleeP
254,happiness,"@tonibrockliss fyi, connie and carla is not as totally awesome as the previews make it seem  sorry about that one."
255,happiness,"Now that I have a salary, I can actually spend money. Hooray! Time to go shopping and have dinner at Ahora to say goodbye to @yusufyusuf."
256,happiness,"Finally, a beautiful, sunny day in Atlanta. Too bad I'm stuck inside working..."
257,happiness,@mselliott09 hahaha thanks for clearing up the
258,happiness,@TheMandyMoore good morning sunshine. sleepytown is sleepy.
259,happiness,"getting ready for the day, out then work till close"
260,happiness,so happy its friday...not so happy about this rain
261,happiness,"@i_dulay i swear it took me 2 hours to get from bel air to alabang.  but yes, i LOVED reminiscing about our HK trip with you &amp; @cdeocampo"
262,happiness,Very lonely here in Gosforth gallery  but excited for meal at Six followed by Antony and the Johnsons tonight. Woohoo!!
263,happiness,On my way to the burial
264,happiness,@pixls hahahahhahaha it was true! and i could really stretch out and stuff! shame rem's dog got mad when i tried to put him in avi's face
265,happiness,"Yay !!!! It's firday.... Have a good one everyone. On my way to work,    Lot's of work pending."
266,happiness,@iamchrisc I'm soo jealous right now!!
267,happiness,Just woke up! Annnnd have just realised I missed un uber sunny day...score
268,happiness,@Cholle2001 lucky...you get to do capoeira
269,happiness,Raining...  I missed the rain so much...  I am grateful for it ;)
270,happiness,"had fun tonight ^^ make up, pillow fights and skins. wish i could have stayed over"
271,happiness,Omega is tomorrow. Haven't really planned anything for it. Make sure to come if you can. It'll be awesome. Then move-in June 1st.
272,happiness,@zenithus at least you have a next year  into the big wide world for me!
273,happiness,"@flippy10 deh, i wish the deal was up when i bought my macbook in december  but.. at least i got 100 bucks off! :]"
274,happiness,Back home  Had a great time!
275,happiness,Havin a much better day today!! Finished the last Twilight book yesterday. Classes start next week!      Get at me yall!!
276,happiness,Hopped up out the bed put my swwwaaaaggg oooonnnn! Then got back in the bed it's raining
277,happiness,i got a freakin macbook!!!!! hoorayyy! but i freakin deleted phootbooth.
278,happiness,@EsmeACullen AWWWWWWW you totally rock...I felt all  and now I'm the happiest girl eva!
279,happiness,I did that once
280,happiness,"On the list of park closures - Calaveras Big Trees SP, where I'm headed this weekend. So glad to be visiting before it's too late."
281,happiness,"Sold bikes faster than expected, and we are running out of sizes.    Luckily the single speeds are on the ocean now! ETA -  EO June."
282,happiness,Just took daughter to school. Still tired and still no voice. I know some people are happy!! LOL. Time to get ready for work
283,happiness,"I've got a bit of neckache after going hard (not going home) at Alternative night. I mean I have to, it's nearly all over"
284,happiness,greeeeeeeeeeeat  this summer i have four classes...if you know me...u know why
285,happiness,@tiffaniallen: i'm happy you got your hair did!! and i cant wait til i get back to see it! we're leaving today
286,happiness,@lilabiem hahaha well why would you smack ME for that?!  hahaha THE BIG BANGGG
287,happiness,@GlasgowGooner Boo  well its good fun tho.. sucks if u cant get cards.. I finished 10th in last nights #tpt I took @street out LOL
288,happiness,"@HansenBanana Kayyy XD Yeah, everyone always talks about the part where the dog dies  I need to find a movie that you haven't seen now XD"
289,happiness,Broke my carafe  went to Starbucks for my caffiene fix and the lights go out...just for a sec but are you kidding me..got to laugh. Ha!
290,happiness,@GothLitChic It's too nice to be inside
291,happiness,"@aligomm wow! How cool is that! or was I guess, I have 18 now  haha get another follower!"
292,happiness,Vacation over!!!  Looking forward to the next one........
293,happiness,"Off to work. My last day. Get to walk around and out-process. I am very happy to be one step closer to what I really want to do, but  2."
294,happiness,@emily859 Glad to hear the weather's nice.  It's rained just about every day for the last five days.  Not fun for exploring
295,happiness,@Xanthetwirls I only saw urs by chance. Who else would have that name! Think I'll b missing 2nite too.  Thank god for YouTube.
296,happiness,chillin at home for the day yippee...wish @youngives was here to keep me company
297,happiness,@kiitzyy I think so hahah geez lady 3 hours ago?? Go to bed!! Lack of sleep is bad for your skin!
298,happiness,"The weather is SO nice! And there were so many hot guys in town, I felt like a kid in a candy store. Except all the candies are straight"
299,happiness,"@putitonmyvisa haha nice! I heard it's a sweet hotel. On another note, not a good game last night"
300,happiness,"My storm is acting up  ....Excited for the discussion session regarding Social Media. Scott Lake, CEO of ThinkSM, will be attending."
301,happiness,@peterfacinelli You didn't answer my riddle  Party pooper lol. Jokes Joyce  it was a good one tho haha. Hav a gr8 weekend!
302,happiness,Last time we'll get tacos like this.
303,happiness,@littlelaughalot nice! it's days like today I wish we had a garden
304,happiness,@kirstiealley It'd be nice but soon we'll have to Pay to Tweet
305,happiness,i really want to see cash cash again
306,happiness,aaah good bye mikee  smoked crabs!
307,happiness,@JamesScholes Yes. We have a copyright exemption we're apparently trying to ensure the rest of the world doesn't have.  #sccr18
308,happiness,Last night was fun w the lightening and thunder  Today will be in the 90s
309,happiness,@patrickmanning Yes PM PM you are right
310,happiness,@menchuly it's Friday and sweldo day too
311,happiness,@NikkiBons Happy Birthday Dork!! Lots of love for you today!!!  I wish I was there so I could buy you a drink   Make it a great night!
312,happiness,@DoperahStyles chillin promoting muzik...not eating  lmaao
313,happiness,Just had an iced coffee. Christ that tasted nasty
314,happiness,@filthydukes _yeah thanks for that you pair of gits  (hope it's mega- like the bus!)
315,happiness,Had a lovely day yesterday. The weather was great! Now stupid slapton
316,happiness,I am sick  but Ians coming over so its all good ;)
317,happiness,@MollieOfficial congrats mollie! just wish i could have got some tickets
318,happiness,It just hit me that I am leaving conti...     boooooooo..
319,happiness,"@lurkey hahaha chivalry's not dead, just rare"
320,happiness,@ConciseKilgore morning T! I love their breakfast! If I wasn't stuck at the shop right now getting maintenance done to the ride!
321,happiness,O dnt even like wearing  my skinny jean no more cuz of yall bitch ass ni99as...
322,happiness,"ooh lovely, a ridiculous amount of revision left to do"
323,happiness,"what up world im just chillin, bout to go get this money!! But in this economy no money is easy money anymore"
324,happiness,@arlastouch nothing yet  still looking....but lets for sure do lunch next week!!
325,happiness,@ElizaPatricia =o YOU SAW FLEETWOOD MAC! I'm insanely jealous. I don't have enough money to buy tickets.  I think I'll never see them. =(
326,happiness,So I get up early and I feel good about the day. I walk to work and I'm feeling alright. But guess what... I don't work today.
327,happiness,@cc_chapman #whuffaoke is the same night as @ACDC at Gillette Stadium!
328,happiness,"@bookaliciouspam Hey welcome to VA, LOL.  It's muggy up here by DC too.  Worst part of summer I'd say"
329,happiness,I don't think I'm very well. Just in time for the weekend
330,happiness,"I want dazzle,"
331,happiness,@DaveJMatthews concert tonight at fenwayyy! hopefully the rain stops
332,happiness,Such a beautiful day. I just wish I had the energy to enjoy it.
333,happiness,"shopping with @curlysue69x tonight, cant wait!  Lucky bastard @jayrunway has already finished work  im stuck here forever!"
334,happiness,getting cds ready for tour
335,happiness,"So I cannot find my poetry book. It wasn't at my dad's and I'm about to tear up my room looking for it. It I don't, I'm gonna be sad"
336,happiness,"@BD_illustrated Me Too! Its hard to argue w/ him 'cause he makes some great points, i just can't wrap my heart around that one"
337,happiness,Chatted with my old schoolmates. Awww  I miss my Highschool.
338,happiness,WALES HERE I AM! 1st 2 weeks away in wales. but idk if the guys at school really like me...
339,happiness,"@WerewolfSeth well, i must say she is very lucky to have you! i guess that means no chillin and concert with me huh"
340,happiness,@goodlaura  *waves to make it all OK again*
341,happiness,..exams.  haha just remembrd the china buffet king yesterday. vair amusing ....
342,happiness,Managed to find a bottle of Pimm's! If only we had the weather to go with it
343,happiness,"@garageglamorous I agree, 'Paparazzi' waz an amazing vid, I luved it, but felt bad cuz it waz leaked &amp; I watched it"
344,happiness,Whoop! I got a prom date today! Who knew? Ha-ha! But I can't tell you who.
345,happiness,@conorp YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?
346,happiness,tired and all i want to do is play random songs on my gitwar but i have to do my drama essay.
347,happiness,@darrynstorm hey hey..i'm only finishing on the 10th of june
